Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
71,59,2023-03-17,33-037,GSW,@,ATL,L (-8),1,35:18,6,14,.429,2,7,.286,1,1,1.000,0,11,11,5,3,2,6,0,15,12.8,-8
72,60,2023-03-18,33-038,GSW,@,MEM,L (-14),1,32:06,6,17,.353,2,9,.222,0,0,,0,1,1,0,0,1,1,1,14,4.1,-30
73,61,2023-03-20,33-040,GSW,@,HOU,W (+13),1,37:10,11,21,.524,5,13,.385,2,2,1.000,0,7,7,1,1,1,2,0,29,21.2,+13
74,62,2023-03-22,33-042,GSW,@,DAL,W (+2),1,34:48,4,9,.444,1,4,.250,0,0,,0,5,5,1,0,1,0,3,9,6.0,-3
75,63,2023-03-24,33-044,GSW,,PHI,W (+8),1,36:12,7,17,.412,6,13,.462,1,2,.500,0,6,6,2,0,0,2,1,21,12.3,0
76,64,2023-03-26,33-046,GSW,,MIN,L (-3),1,34:47,5,17,.294,5,11,.455,0,0,,0,4,4,2,1,0,3,3,15,4.5,+13
77,65,2023-03-28,33-048,GSW,,NOP,W (+11),1,34:07,6,16,.375,5,11,.455,0,0,,0,2,2,1,2,1,1,3,17,10.0,+9
78,66,2023-03-31,33-051,GSW,,SAS,W (+15),1,34:17,11,18,.611,7,14,.500,2,2,1.000,0,2,2,2,1,0,1,1,31,24.4,+10
79,67,2023-04-02,33-053,GSW,@,DEN,L (-2),1,39:06,9,28,.321,5,16,.313,2,2,1.000,1,4,5,4,1,0,1,3,25,12.5,0
80,,2023-04-04,33-055,GSW,,OKC,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
81,68,2023-04-07,33-058,GSW,@,SAC,W (+22),1,34:30,11,19,.579,5,8,.625,2,2,1.000,0,2,2,2,0,2,2,1,29,21.1,+28
82,69,2023-04-09,33-060,GSW,@,POR,W (+56),1,21:40,7,14,.500,6,11,.545,0,0,,0,5,5,1,0,0,3,2,20,11.4,+24
